date,SO2_Avg,CO_Avg,O3_Avg,NO2_Avg,PM10_Avg,PM25_Avg,Temperature_Avg,Temperature_range,Precipitation,Humidity_Avg
2005-01-01,0.004834597959198052,0.6338281038536793,0.023647022083357238,0.016346203456828894,34.07891448540872,NA,-3.3,9.5,0,50
2005-01-02,0.007039504588705356,0.8023979628439347,0.01798443202429607,0.022482011076255148,43.38396816221261,NA,0.5,11.5,0,59
2005-01-03,0.007490715066524395,0.8033959429835389,0.021691097175383922,0.02290082981758319,54.13690957140962,NA,4.3,10.8,0.2,60
2005-01-04,0.0052800958822958755,0.5816458252727434,0.02506117921114724,0.014071876542948678,63.0888805629887,NA,-2,9.1,0,38
2005-01-05,0.007096867988262355,0.8453489430255116,0.012165833622145397,0.0286875147128355,56.28010489931455,NA,-3.2,13.1,0,50
2005-01-06,0.0072283709313943146,0.8448993794737552,0.01298075245381455,0.029876248977182256,52.96913136719212,NA,1.6,9.3,0,52
2005-01-07,0.007780273278227242,0.7186613205299267,0.02118525020041964,0.018050744611298384,47.98166113766946,NA,0.4,9,0,46
2005-01-08,0.005673438870201978,0.697628234359475,0.018825377714588074,0.019669483347454168,33.553166216794914,NA,-2.7,10.9,0,50
2005-01-09,0.005130326704691685,0.6087688695402977,0.023388522949296605,0.012613512114491007,29.316989863780936,NA,-5.3,8.9,0,43
2005-01-10,0.006086534504660208,0.7460679940812759,0.017025007846161434,0.020865666619996334,34.653561330913,NA,-3.4,11.3,0.1,55
2005-01-11,0.007259110571738449,0.7152566894893708,0.02152290423630611,0.017951569329216432,39.80768760911915,NA,-2.1,6.699999999999999,0.1,53
2005-01-12,0.006210526941720238,0.6441281417322944,0.02147611488719141,0.018564821961238744,42.68718458092748,NA,-3.3,8.2,0,50
2005-01-13,0.006607981814366422,0.7380377444576866,0.018318329722803745,0.022705535524106327,47.78375460094134,NA,-3,8.3,0,56
2005-01-14,0.0074369324097278275,0.8543360464689883,0.014280574393861007,0.02933353961862762,49.529658850194494,NA,-2,11.4,0,58
2005-01-15,0.008202399958682074,0.8641700840607034,0.019201667773253907,0.02492231589937792,54.46771917702342,NA,-1,9.5,0.2,55
2005-01-16,0.006439406380290768,0.8123093451674014,0.024009882470448326,0.01816345587408767,53.631146345780294,NA,-0.5,8.4,2.9,66
2005-01-17,0.006738618786108807,1.0922257898432044,0.015211693929187031,0.03153767542668103,55.576751932310636,NA,-0.4,12.8,0,64
2005-01-18,0.008194254760861297,1.0545424285403906,0.0136677675271725,0.03258673345364259,61.34327271067921,NA,1,11.8,0.4,68
2005-01-19,0.006091887223905504,0.6245451037570603,0.023997157135019456,0.016579066700191873,42.012229597278534,NA,-0.6,6.3,0.1,49
2005-01-20,0.005822582521077007,0.5783891626659048,0.02384757132737129,0.014937337005982886,33.971937362983475,NA,-3,6.3,0.2,51
2005-01-21,0.0064050115281014085,0.6798739044802121,0.01799538807797343,0.0213179475790575,38.71265373599561,NA,-3.8,11.4,0,50
