성별,연령별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Total_all,계,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51606633,51709098,51780579,51821669,51846339,51868100,51887623,51905126,51920462,51933215,51941946,51940598,51926953,51899896,51858138,51800130,51724407,51629895
all,0 - 4세,3006361,2843122,2699556,2524288,2359807,2298242,2301398,2273634,2271803,2315573,2330921,2309327,2295016,2290097,2240110,2151219,2032012,1918541,1781372,1642366,1546576,1500726,1488174,1503772,1546675,1602615,1657319,1705112,1740701,1762567,1769926,1762610,1744426,1719698
all,5 - 9세,3494260,3416386,3321422,3233565,3136070,2976622,2809151,2671496,2497927,2336396,2276951,2279822,2252502,2251100,2297146,2308987,2289635,2274890,2274368,2223872,2136167,2018170,1906183,1770415,1632781,1538030,1492673,1480154,1495496,1537908,1593211,1647271,1694597,1729821
all,10 - 14세,3231727,3325398,3409535,3465407,3483708,3439518,3368274,3284134,3209709,3119491,2969359,2803088,2666175,2488686,2327307,2264077,2267741,2241196,2241098,2285452,2302083,2281924,2267054,2266404,2215832,2128296,2010725,1899203,1763893,1626746,1532395,1487237,1474764,1490023
all,15 - 19세,3391243,3216920,3108835,3080061,3103285,3184001,3282024,3368818,3428793,3468536,3435576,3373050,3289729,3222268,3132204,2982455,2817245,2672668,2491002,2327574,2265962,2267468,2239429,2238045,2281147,2296565,2275451,2259852,2258580,2207809,2120457,2003301,1892344,1757614
all,20 - 24세,4011329,4045569,3970573,3788780,3587201,3380558,3226850,3153001,3139049,3175673,3268949,3370906,3457405,3511968,3559849,3529657,3496564,3412056,3334536,3225804,3055770,2866577,2711315,2520744,2349757,2280870,2275322,2240754,2233663,2272390,2284961,2262556,2246484,2245251
all,25 - 29세,4064589,3941430,3853273,3843827,3927136,4018371,4056267,4001090,3834105,3664802,3464864,3315255,3259130,3269454,3279811,3368161,3497380,3580868,3637249,3684477,3647149,3581957,3487886,3401461,3284688,3107863,2912545,2751324,2555550,2380104,2307710,2299831,2264491,2257521
all,30 - 34세,4421320,4473012,4450632,4360436,4226271,4078911,3954807,3856438,3877784,3967427,4058688,4086255,4045454,3871602,3688255,3491542,3366501,3306948,3319618,3336107,3428375,3537696,3619047,3673379,3718640,3679498,3612528,3516598,3428572,3310444,3132420,2936169,2774601,2578740
all,35 - 39세,4187506,4154850,4216022,4267337,4361921,4449040,4509979,4466962,4387036,4241327,4087693,3949716,3854386,3892100,3964685,4054300,4100582,4055441,3883932,3711861,3522764,3380037,3320398,3332749,3348899,3440647,3549415,3630139,3683932,3728732,3689415,3622409,3526733,3438963
all,40 - 44세,4271265,4342326,4312441,4248300,4184030,4156757,4135275,4244225,4306370,4409021,4483989,4527975,4479628,4398381,4230029,4078404,3955767,3853391,3891003,3970948,4069315,4102725,4057982,3887252,3715780,3527224,3384758,3325014,3337184,3353268,3444817,3553480,3634412,3688490
all,45 - 49세,3346133,3569142,3802111,3958097,4139484,4248784,4354664,4321262,4271709,4191090,4173386,4125313,4295086,4354036,4441770,4506942,4556757,4489226,4400725,4239777,4095863,3964414,3862135,3899226,3978700,4076659,4109970,4065193,3894909,3723734,3535614,3393467,3334064,3346529
all,50 - 54세,2505591,2568222,2664066,2861891,3106401,3287112,3524016,3761143,3934363,4163908,4263019,4364665,4334785,4289039,4170297,4163840,4123542,4294788,4343767,4438900,4509738,4552889,4486677,4399141,4239608,4096721,3966239,3864626,3901729,3981282,4079398,4113251,4069406,3900529
all,55 - 59세,2041047,2105442,2196938,2285610,2363424,2441497,2518813,2611705,2817315,3065255,3241925,3457310,3699016,3884217,4134915,4225899,4339919,4294120,4243280,4133768,4134414,4094331,4266040,4317162,4413499,4485536,4529990,4466125,4380717,4223874,4083211,3954865,3855327,3893364
